Question;OptionA;OptionB;OptionC;OptionD;CorrectAnswer;Explanation
What is the purpose of Azure Site Recovery (ASR)?;To back up data to Azure;To manage virtual machines in Azure;To ensure business continuity by replicating workloads to a secondary location;To monitor and optimize network traffic;C;Azure Site Recovery (ASR) is a disaster recovery service that replicates workloads to a secondary location to ensure business continuity in case of failures.
Which Azure service is used for managing and scaling containerized applications?;Azure Kubernetes Service (AKS);Azure Container Instances (ACI);Azure Virtual Machines;Azure App Service;A;Azure Kubernetes Service (AKS) simplifies the process of deploying  managing  and scaling containerized applications using Kubernetes in Azure.
What is the role of Network Security Groups (NSGs) in Azure?;To load balance traffic;To control network traffic to and from Azure resources;To replicate databases across regions;To encrypt data at rest;B;NSGs are used to control inbound and outbound traffic to Azure resources within a virtual network or subnet.
Which Azure storage type should be used for low-latency  high-performance workloads?;Azure Blob Storage;Azure Table Storage;Azure Premium SSD;Azure Archive Storage;C;Azure Premium SSD offers high performance and low-latency storage  making it ideal for demanding workloads such as virtual machines.
What is the primary use of Azure Load Balancer?;To monitor the health of applications;To distribute network traffic across multiple VMs or services;To create virtual networks;To provide secure access to Azure resources;B;Azure Load Balancer distributes incoming network traffic across multiple Azure resources to ensure high availability.
What is the default replication strategy for Azure Storage Accounts?;Locally Redundant Storage (LRS);Geo-Redundant Storage (GRS);Read-Access Geo-Redundant Storage (RA-GRS);Zone-Redundant Storage (ZRS);A;LRS replicates data three times within a single datacenter to ensure durability.
Which Azure service provides a platform for hosting web applications?;Azure SQL Database;Azure Virtual Machines;Azure App Service;Azure Functions;C;Azure App Service is a fully managed platform for building  deploying  and scaling web applications.
What is the role of Azure Automation?;To automate data backup processes;To monitor network traffic;To automate frequent  time-consuming management tasks;To deploy virtual machines;C;Azure Automation helps automate repetitive tasks such as starting/stopping virtual machines  managing updates  and more.
How does Azure Backup differ from Azure Site Recovery?;Azure Backup replicates workloads across regions;Azure Backup is used to restore data  while Azure Site Recovery ensures workload replication for disaster recovery;Azure Backup is a disaster recovery service;Azure Backup monitors virtual machines;B;Azure Backup is used to protect and restore data  while Azure Site Recovery ensures workload replication for business continuity.
Which Azure service helps optimize cloud costs by providing recommendations?;Azure Advisor;Azure Security Center;Azure Monitor;Azure Sentinel;A;Azure Advisor provides recommendations for optimizing the performance  security  and cost of your Azure resources.
How does Azure Availability Set help in ensuring application availability?;It replicates VMs across regions;It distributes VMs across different physical servers in a datacenter;It automatically scales VMs;It provides high network availability;B;Azure Availability Sets distribute VMs across multiple physical servers  ensuring that a failure in one server doesn't affect all instances.
Which Azure service is designed for managing identities and access?;Azure Virtual Machines;Azure Key Vault;Azure Active Directory;Azure Monitor;C;Azure Active Directory is a cloud-based identity and access management service that helps manage user credentials and access to services.
What is the primary use case for Azure Functions?;To host large-scale databases;To run event-driven  serverless code;To monitor virtual machines;To create virtual networks;B;Azure Functions is an event-driven  serverless compute service that allows you to run code without provisioning or managing infrastructure.
Which service is used for automating the deployment of resources using templates?;Azure Functions;Azure App Service;Azure Resource Manager (ARM);Azure Traffic Manager;C;Azure Resource Manager allows you to deploy  manage  and monitor Azure resources using JSON templates.
What is the role of Azure ExpressRoute?;To connect virtual networks across regions;To extend on-premises networks to Azure over a private connection;To create virtual machines;To manage VPNs;B;Azure ExpressRoute establishes private connections between on-premises networks and Azure datacenters.
